src_image,page,page_width,page_height,cc_image,x,y,w,h,aspect,m00,n20,n11,n02,n30,n21,n12,n03,i1,i2,i3,i4,i5,i6,i7,i8,z00,z01,z02,z10,z11,z12,z20,z21,z22
"image_0184.png",1,3400,4944,"c00000_x0030_y0000.tif",30,0,6,223,1.345291e-02,5.840000e+02,1.825254e-03,-6.993585e-02,6.475843e+00,-1.770946e-05,4.504602e-04,2.315109e-02,-3.626297e+00,6.477668e+00,4.193247e+01,1.316466e+01,1.314730e+01,1.729647e+02,8.513237e+01,1.373240e-03,3.763642e-01,0.000000e+00,5.000000e-01,5.405405e-01,1.081081e-01,9.324324e-01,4.391892e-01,5.066667e-01,9.000000e-01,0.000000e+00
"image_0184.png",1,3400,4944,"c00001_x1362_y0120.tif",1362,120,45,53,4.245283e-01,1.238000e+03,1.194990e-01,8.898041e-03,2.385522e-01,1.661218e-02,2.097358e-03,7.529304e-03,-3.459814e-03,3.580512e-01,1.449039e-02,1.308087e-04,5.846677e-04,-1.001167e-07,-7.033530e-05,1.216773e-07,1.253495e-06,7.215686e-01,3.882353e-01,5.568627e-01,6.039216e-01,6.431373e-01,1.176471e-02,7.017544e-01,4.350877e-01,5.894737e-01
"image_0184.png",1,3400,4944,"c00002_x0413_y0121.tif",413,121,37,54,3.425926e-01,1.113000e+03,9.079935e-02,-3.655094e-03,1.830686e-01,1.463466e-03,4.419952e-03,1.193400e-02,-1.479890e-02,2.738680e-01,8.567060e-03,1.966428e-03,2.872145e-04,-1.966914e-07,-4.589131e-06,-2.075294e-07,-1.309251e-05,2.314815e-01,5.925926e-01,3.760684e-01,9.259259e-01,4.537037e-01,6.239316e-01,6.388889e-01,4.537037e-01,7.136752e-01
"image_0184.png",1,3400,4944,"c00003_x1311_y0121.tif",1311,121,49,53,4.622642e-01,1.044000e+03,1.390673e-01,8.405637e-02,2.680752e-01,5.726264e-02,3.695047e-02,-4.385211e-03,-5.049963e-02,4.071424e-01,4.490493e-02,3.099289e-02,2.979602e-03,-4.117507e-05,-5.779128e-04,2.698434e-05,1.271654e-04,6.985294e-01,3.308824e-01,0.000000e+00,6.176471e-01,2.500000e-01,0.000000e+00,6.743421e-01,4.769737e-01,5.510836e-01
"image_0184.png",1,3400,4944,"c00004_x1414_y0121.tif",1414,121,46,54,4.259259e-01,1.140000e+03,1.445907e-01,1.016501e-02,2.343810e-01,9.657573e-03,1.182997e-03,1.691014e-02,-1.475658e-02,3.789717e-01,8.475613e-03,2.022072e-03,8.900854e-04,-1.235410e-06,-6.149751e-05,-1.003352e-06,-2.707802e-05,5.962963e-01,4.185185e-01,4.687500e-01,7.851852e-01,1.037037e-01,2.291667e-01,5.555556e-01,4.259259e-01,5.555556e-01
"image_0184.png",1,3400,4944,"c00005_x1518_y0121.tif",1518,121,45,53,4.245283e-01,1.228000e+03,1.243066e-01,-3.832262e-04,1.914063e-01,1.202803e-03,1.323528e-03,-8.841176e-03,1.246419e-02,3.157129e-01,4.502950e-03,8.408907e-04,2.484458e-04,-2.252283e-09,9.002241e-06,-2.745468e-08,-7.016153e-06,7.568627e-01,4.000000e-01,5.803922e-01,4.431373e-01,6.588235e-01,5.058824e-01,6.175439e-01,1.438596e-01,5.543860e-01
"image_0184.png",1,3400,4944,"c00006_x1568_y0121.tif",1568,121,46,54,4.259259e-01,1.289000e+03,1.493678e-01,1.731699e-04,2.069250e-01,8.677562e-03,5.478468e-04,-1.508345e-02,3.602407e-03,3.562928e-01,3.312955e-03,2.912055e-03,5.825995e-05,1.215713e-07,-1.388896e-06,-2.383129e-08,-1.526096e-06,7.333333e-01,3.814815e-01,5.729167e-01,6.666667e-01,1.851852e-02,6.840278e-01,7.296296e-01,3.370370e-01,5.312500e-01
"image_0184.png",1,3400,4944,"c00007_x1738_y0121.tif",1738,121,45,54,4.166667e-01,1.133000e+03,1.071810e-01,-5.598886e-02,2.252766e-01,2.506561e-02,-2.022468e-02,-1.280812e-02,3.594804e-02,3.324576e-01,2.648558e-02,1.336680e-02,3.974702e-04,-1.442377e-06,-3.170998e-05,4.972898e-07,2.819015e-05,6.962963e-01,4.740741e-01,6.481481e-01,5.851852e-01,7.666667e-01,2.222222e-02,6.962963e-01,3.074074e-01,0.000000e+00
"image_0184.png",1,3400,4944,"c00008_x1888_y0121.tif",1888,121,44,55,4.000000e-01,1.053000e+03,1.731547e-01,-1.009644e-03,2.908574e-01,2.539313e-02,1.361850e-05,4.016013e-02,-5.919394e-05,4.640121e-01,1.385801e-02,9.041594e-03,4.297231e-03,3.285033e-06,-5.057833e-04,-2.768435e-08,-4.690321e-06,4.880952e-01,4.404762e-01,6.041667e-01,8.611111e-01,0.000000e+00,1.041667e-02,5.225564e-01,4.097744e-01,5.822368e-01
"image_0184.png",1,3400,4944,"c00009_x0351_y0122.tif",351,122,33,53,3.113208e-01,9.230000e+02,7.650411e-02,1.939050e-03,2.617593e-01,-5.218945e-03,5.438098e-03,-1.038523e-02,-5.436856e-03,3.382634e-01,3.433451e-02,1.145827e-03,2.434902e-04,2.054259e-07,-4.510797e-05,-8.266624e-08,4.685499e-07,5.989305e-01,5.989305e-01,5.240642e-01,1.283422e-01,5.187166e-01,5.721925e-01,6.650718e-01,4.306220e-01,6.889952e-01
"image_0184.png",1,3400,4944,"c00010_x0477_y0122.tif",477,122,34,52,3.269231e-01,1.026000e+03,7.741613e-02,-3.473103e-03,2.656505e-01,-1.550528e-03,1.685350e-03,-5.854163e-03,6.717262e-03,3.430666e-01,3.548041e-02,2.591426e-04,1.254333e-04,-7.546299e-09,3.833658e-06,-1.456243e-08,-1.165692e-05,6.684492e-01,5.668449e-01,7.254902e-01,2.299465e-01,4.385027e-01,5.294118e-01,6.414141e-01,7.424242e-01,6.481481e-01
"image_0184.png",1,3400,4944,"c00011_x1465_y0122.tif",1465,122,45,53,4.245283e-01,1.206000e+03,1.232599e-01,8.009136e-03,2.446640e-01,1.829386e-02,1.560780e-03,1.002468e-02,1.984820e-04,3.679239e-01,1.499555e-02,1.588775e-04,8.050348e-04,-1.439758e-07,-9.538702e-05,1.504434e-07,1.244638e-05,6.980392e-01,4.392157e-01,5.803922e-01,5.607843e-01,6.431373e-01,3.921569e-03,6.350877e-01,3.964912e-01,5.824561e-01
"image_0184.png",1,3400,4944,"c00012_x1616_y0122.tif",1616,122,47,54,4.351852e-01,1.514000e+03,9.040783e-02,1.364881e-02,1.685217e-01,1.533728e-03,3.183626e-03,-1.708518e-03,-1.708703e-05,2.589295e-01,6.846937e-03,1.358920e-04,1.005752e-05,-2.906510e-10,7.506414e-07,2.597607e-10,-1.796738e-07,7.185185e-01,5.444444e-01,5.718954e-01,6.000000e-01,6.037037e-01,5.098039e-01,6.481481e-01,4.555556e-01,7.156863e-01
"image_0184.png",1,3400,4944,"c00013_x1666_y0122.tif",1666,122,47,53,4.433962e-01,1.296000e+03,1.193414e-01,8.572389e-03,2.233889e-01,1.572157e-02,2.345682e-03,7.756313e-03,-2.299252e-03,3.427303e-01,1.111984e-02,1.441293e-04,5.512131e-04,-8.112525e-08,-5.731456e-05,1.214016e-07,4.838596e-06,6.666667e-01,4.980392e-01,5.709343e-01,5.333333e-01,7.294118e-01,5.536332e-02,5.929825e-01,4.807018e-01,5.882353e-01
"image_0184.png",1,3400,4944,"c00014_x1788_y0122.tif",1788,122,45,54,4.166667e-01,1.070000e+03,1.432259e-01,9.661734e-03,2.576654e-01,1.562606e-02,-1.437266e-02,5.413383e-03,1.089574e-02,4.008913e-01,1.346979e-02,2.917858e-03,4.547471e-04,2.517152e-07,-5.210124e-05,-4.646403e-07,-4.211468e-06,7.703704e-01,2.296296e-01,5.777778e-01,6.518519e-01,6.666667e-02,4.185185e-01,4.259259e-01,4.111111e-01,4.111111e-01
"image_0184.png",1,3400,4944,"c00015_x1838_y0122.tif",1838,122,47,53,4.433962e-01,1.419000e+03,1.106775e-01,5.437654e-05,1.638875e-01,1.065541e-03,7.923848e-04,-5.286386e-03,8.165357e-03,2.745650e-01,2.831321e-03,3.199487e-04,9.805668e-05,1.892897e-09,3.313446e-06,-1.383643e-09,-2.015226e-06,7.137255e-01,5.568627e-01,6.228374e-01,5.529412e-01,6.588235e-01,5.743945e-01,6.561404e-01,1.789474e-01,6.253870e-01
"image_0184.png",1,3400,4944,"c00016_x1938_y0122.tif",1938,122,49,54,4.537037e-01,9.840000e+02,1.238895e-01,1.144930e-03,2.904457e-01,-4.779129e-04,-4.121759e-02,-1.287153e-03,8.489920e-02,4.143352e-01,2.774621e-02,4.350537e-02,1.911199e-03,1.742251e-05,3.169311e-04,-1.825364e-06,-1.502269e-05,5.694444e-01,7.187500e-01,5.457516e-01,0.000000e+00,6.701389e-01,0.000000e+00,6.250000e-02,7.500000e-01,6.209150e-02
"image_0184.png",1,3400,4944,"c00017_x1990_y0122.tif",1990,122,22,54,2.037037e-01,7.110000e+02,2.779782e-02,1.185868e-03,3.931339e-01,-3.887242e-04,5.967663e-04,-1.305712e-03,-3.656252e-03,4.209317e-01,1.334761e-01,4.211459e-05,1.223156e-05,4.368878e-10,2.395380e-06,2.245958e-10,1.886244e-06,4.206349e-01,9.682540e-01,5.347222e-01,1.746032e-01,1.000000e+00,3.750000e-01,4.444444e-01,9.444444e-01,5.694444e-01
"image_0184.png",1,3400,4944,"c00018_x2015_y0122.tif",2015,122,48,54,4.444444e-01,1.310000e+03,1.654212e-01,9.685329e-04,1.816313e-01,5.116367e-03,5.350266e-04,2.150585e-03,1.997397e-03,3.470525e-01,2.665176e-04,1.937174e-06,5.922175e-05,-1.625874e-10,-6.807758e-07,4.183676e-10,3.432489e-07,5.659722e-01,4.166667e-01,5.555556e-01,8.229167e-01,0.000000e+00,7.013889e-01,5.451389e-01,3.888889e-01,5.520833e-01
"image_0184.png",1,3400,4944,"c00019_x2067_y0122.tif",2067,122,45,53,4.245283e-01,1.247000e+03,1.236143e-01,2.714477e-03,1.875161e-01,2.112293e-03,1.176060e-03,-8.456099e-03,1.310836e-02,3.111305e-01,4.112918e-03,8.469626e-04,2.442885e-04,1.570484e-08,9.483253e-06,-2.052453e-09,-6.235264e-06,7.764706e-01,4.156863e-01,5.882353e-01,4.549020e-01,6.705882e-01,4.980392e-01,6.070175e-01,1.403509e-01,5.824561e-01
"image_0184.png",1,3400,4944,"c00020_x2114_y0122.tif",2114,122,37,54,3.425926e-01,1.019000e+03,1.023710e-01,-2.612474e-03,2.551780e-01,-5.750778e-04,6.826918e-03,-3.261544e-03,1.626471e-04,3.575490e-01,2.337730e-02,4.976414e-04,6.357369e-05,-1.689193e-10,5.496199e-06,1.057972e-08,-4.008548e-06,5.509259e-01,3.981481e-01,5.085470e-01,3.287037e-01,6.435185e-01,5.598291e-01,6.666667e-01,3.472222e-01,5.769231e-01
"image_0184.png",1,3400,4944,"c00021_x2954_y0125.tif",2954,125,26,53,2.452830e-01,6.640000e+02,3.497570e-02,1.777186e-02,4.262270e-01,-1.775999e-03,3.969188e-03,-1.370896e-02,-1.695528e-02,4.612027e-01,1.543409e-01,2.381555e-03,4.084224e-04,1.366370e-06,-1.354078e-05,4.003669e-07,7.994073e-05,3.602941e-01,9.117647e-01,2.941176e-01,0.000000e+00,8.750000e-01,3.000000e-01,3.092105e-01,8.947368e-01,4.631579e-01
"image_0184.png",1,3400,4944,"c00022_x2982_y0125.tif",2982,125,35,54,3.240741e-01,9.980000e+02,8.334692e-02,1.349551e-02,2.654424e-01,1.695391e-03,8.868521e-03,-2.328141e-03,-9.881990e-03,3.487894e-01,3.388729e-02,1.406681e-03,1.427492e-06,2.447797e-09,1.487450e-07,6.342784e-11,1.083145e-07,6.010101e-01,6.868687e-01,3.632479e-01,4.696970e-01,3.585859e-01,4.957265e-01,7.121212e-01,4.242424e-01,6.538462e-01
"image_0184.png",1,3400,4944,"c00023_x3022_y0127.tif",3022,127,32,52,3.076923e-01,9.190000e+02,7.652726e-02,-1.570183e-04,2.574487e-01,-3.624414e-03,5.526419e-03,-9.086579e-03,-9.473389e-03,3.339760e-01,3.273268e-02,1.237369e-03,1.771479e-04,2.136878e-07,-2.644437e-05,5.736387e-09,9.053891e-06,6.235294e-01,5.294118e-01,5.882353e-01,1.882353e-01,4.529412e-01,6.421569e-01,7.722222e-01,3.944444e-01,7.083333e-01
"image_0184.png",1,3400,4944,"c00024_x0391_y0159.tif",391,159,16,17,4.705882e-01,2.080000e+02,7.397472e-02,1.363720e-03,8.649223e-02,2.260054e-04,1.293686e-03,-4.722610e-04,-1.764530e-03,1.604670e-01,1.641271e-04,3.457143e-05,2.823352e-07,6.153290e-12,2.648447e-09,8.095650e-13,1.231749e-09,2.800000e-01,9.200000e-01,4.333333e-01,8.400000e-01,1.000000e+00,1.000000e+00,5.714286e-01,1.000000e+00,8.095238e-01
"image_0184.png",1,3400,4944,"c00025_x0455_y0159.tif",455,159,15,18,4.166667e-01,2.100000e+02,6.932783e-02,2.756722e-03,9.168513e-02,6.799105e-04,5.361620e-04,-7.979137e-04,-6.989829e-04,1.610130e-01,5.302471e-04,1.477175e-05,4.043538e-08,2.427324e-12,4.932502e-10,2.550282e-14,3.948635e-10,6.000000e-01,9.000000e-01,4.333333e-01,1.000000e+00,1.000000e+00,9.666667e-01,6.000000e-01,9.333333e-01,5.666667e-01
