src_image,page,page_width,page_height,cc_image,x,y,w,h,aspect,m00,n20,n11,n02,n30,n21,n12,n03,i1,i2,i3,i4,i5,i6,i7,i8
"image_0168.png",1,3400,4944,"c00364_x0453_y3439.tif",453,3439,38,58,3.275862e-01,1.046000e+03,1.155155e-01,7.326741e-03,2.405968e-01,3.252313e-03,6.828447e-03,1.353216e-02,-2.119585e-02,3.561123e-01,1.586005e-02,3.131908e-03,4.881408e-04,-4.486471e-07,-1.648550e-05,-5.788528e-07,-2.961158e-05
"image_0168.png",1,3400,4944,"c00365_x0411_y3440.tif",411,3440,40,58,3.448276e-01,1.057000e+03,7.163531e-02,7.483326e-03,2.259187e-01,-1.043714e-02,9.833656e-03,1.450190e-02,-2.430681e-02,2.975540e-01,2.402737e-02,5.805107e-03,2.259945e-04,1.841445e-07,2.800802e-05,-8.988804e-09,-1.052038e-05
"image_0168.png",1,3400,4944,"c00366_x0573_y3457.tif",573,3457,429,16,9.813520e-01,3.520000e+03,4.473570e+00,-3.752033e-03,1.826325e-03,3.328000e-01,-6.347282e-03,-4.827946e-04,2.479261e-05,4.475397e+00,1.999655e+01,1.120855e-01,1.104747e-01,1.230656e-02,4.936885e-01,1.081053e-06,8.981251e-03
"image_0168.png",1,3400,4944,"c00367_x0950_y3479.tif",950,3479,13,26,2.500000e-01,2.230000e+02,3.245248e-02,1.336490e-02,2.721637e-01,-4.360954e-04,1.027349e-03,-5.674441e-03,-7.418213e-03,3.046162e-01,5.817597e-02,3.853916e-04,7.818180e-05,4.356241e-08,2.927748e-06,1.301083e-08,9.314273e-06
"image_0168.png",1,3400,4944,"c00368_x0951_y3479.tif",951,3479,34,51,3.333333e-01,6.350000e+02,1.135906e-01,-5.156681e-02,2.859444e-01,-2.829067e-02,2.231938e-02,3.530305e-02,-8.548545e-02,3.995350e-01,4.034239e-02,4.124864e-02,4.039127e-03,4.406306e-05,7.705734e-04,1.982871e-05,1.268703e-04
"image_0168.png",1,3400,4944,"c00369_x0769_y3488.tif",769,3488,26,37,3.513514e-01,6.020000e+02,7.193111e-02,-6.987535e-03,2.183886e-01,3.354661e-04,3.045127e-03,-3.490137e-04,3.434768e-03,2.903197e-01,2.164510e-02,3.440831e-05,4.198922e-05,-1.550493e-09,6.152036e-06,3.858823e-10,2.805415e-07
"image_0168.png",1,3400,4944,"c00370_x0686_y3489.tif",686,3489,22,73,1.506849e-01,6.420000e+02,3.564218e-02,-1.000038e-02,6.477444e-01,2.494530e-03,-3.528860e-03,9.227782e-02,-1.945662e-03,6.833866e-01,3.750692e-01,7.533651e-02,9.011768e-03,4.042146e-04,-5.458680e-03,-4.770533e-05,-4.071007e-04
"image_0168.png",1,3400,4944,"c00371_x0883_y3492.tif",883,3492,54,72,3.750000e-01,1.528000e+03,1.409921e-01,7.374661e-03,2.517755e-01,-1.355181e-03,-5.287128e-03,-1.370284e-02,-6.060725e-03,3.927676e-01,1.249050e-02,1.676380e-03,3.555177e-04,6.270449e-07,-5.812850e-06,2.252208e-07,1.965273e-05
"image_0168.png",1,3400,4944,"c00372_x0635_y3516.tif",635,3516,43,42,5.116279e-01,5.260000e+02,1.506573e-01,5.324590e-03,1.532532e-01,-7.310947e-04,1.259897e-03,-4.672101e-04,2.454385e-03,3.039105e-01,1.201439e-04,2.206053e-06,1.523183e-05,-3.834067e-11,-6.270995e-08,8.707882e-11,-7.736583e-08
"image_0168.png",1,3400,4944,"c00373_x0585_y3520.tif",585,3520,34,38,4.473684e-01,6.660000e+02,9.817429e-02,-3.224737e-02,2.098493e-01,-1.343674e-03,3.162018e-03,2.749605e-03,-9.853340e-03,3.080236e-01,1.663087e-02,4.660280e-04,4.675044e-05,7.041667e-09,5.992844e-06,-1.105185e-09,3.295092e-07
"image_0168.png",1,3400,4944,"c00374_x0726_y3520.tif",726,3520,6,7,4.285714e-01,3.200000e+01,6.857300e-02,-1.425171e-02,9.616089e-02,3.446264e-03,-1.289694e-03,-3.450984e-03,3.589900e-03,1.647339e-01,1.573537e-03,2.460547e-04,5.290972e-06,9.078048e-11,1.465845e-07,1.673793e-10,7.510521e-08
"image_0168.png",1,3400,4944,"c00375_x0725_y3520.tif",725,3520,36,37,4.864865e-01,6.780000e+02,1.072693e-01,-3.751996e-02,2.037459e-01,-2.568917e-03,4.253070e-03,3.757376e-03,-1.338946e-02,3.110152e-01,1.493873e-02,8.753273e-04,8.488601e-05,2.348507e-08,9.546584e-06,2.281658e-09,2.031365e-06
"image_0168.png",1,3400,4944,"c00376_x0818_y3530.tif",818,3530,47,12,8.723404e-01,4.300000e+02,4.125094e-01,-2.707611e-03,1.798035e-02,2.631110e-04,-9.002821e-04,-1.636417e-04,-1.462721e-04,4.304897e-01,1.556825e-01,7.094420e-06,1.105170e-06,-2.869734e-12,-4.270871e-07,-8.482474e-15,4.400924e-08
"image_0168.png",1,3400,4944,"c00377_x2448_y3615.tif",2448,3615,40,59,3.389831e-01,1.055000e+03,1.390489e-01,3.612291e-03,2.658900e-01,-2.116805e-03,3.544104e-04,-1.517682e-03,1.272855e-04,4.049388e-01,1.614087e-02,6.811262e-06,1.344152e-05,-4.784917e-11,-1.671372e-06,-8.879938e-11,-1.751846e-07
"image_0168.png",1,3400,4944,"c00378_x1439_y3619.tif",1439,3619,19,36,2.638889e-01,3.820000e+02,3.442989e-02,2.590734e-02,3.128797e-01,-3.439525e-04,2.002194e-03,-6.352853e-03,-1.004630e-02,3.473095e-01,8.021904e-02,6.079313e-04,1.095548e-04,8.647587e-08,1.111261e-05,2.656053e-08,1.448550e-05
"image_0168.png",1,3400,4944,"c00379_x2179_y3619.tif",2179,3619,51,62,4.112903e-01,1.523000e+03,1.148010e-01,1.482337e-02,2.310816e-01,2.053673e-03,7.400050e-03,-2.546834e-03,5.120668e-04,3.458826e-01,1.440010e-02,5.643500e-04,6.284480e-05,-1.055893e-08,7.019709e-06,6.751775e-09,-1.378082e-06
"image_0168.png",1,3400,4944,"c00380_x1441_y3621.tif",1441,3621,46,68,3.382353e-01,3.820000e+02,4.171433e-01,-6.266323e-01,9.584021e-01,-2.649952e-02,4.068652e-02,-6.077990e-02,8.820099e-02,1.375545e+00,1.863633e+00,2.543256e-02,2.422969e-02,-4.569545e-05,3.306476e-02,-5.961892e-07,-4.526296e-04
"image_0168.png",1,3400,4944,"c00381_x1905_y3622.tif",1905,3622,38,59,3.220339e-01,1.027000e+03,1.090804e-01,1.173265e-02,3.560340e-01,-5.637254e-03,5.487872e-04,-1.220510e-02,1.061709e-02,4.651144e-01,6.153668e-02,1.040113e-03,4.430264e-04,-2.549520e-07,-5.717791e-05,-2.961353e-07,-4.692717e-05
"image_0168.png",1,3400,4944,"c00382_x1791_y3624.tif",1791,3624,35,60,2.916667e-01,7.510000e+02,4.681362e-02,5.130404e-02,5.028675e-01,-7.554360e-04,7.175843e-03,-1.810646e-02,-3.208248e-02,5.496811e-01,2.185135e-01,5.743129e-03,9.761117e-04,6.678496e-06,2.170657e-04,2.118394e-06,2.006744e-04
"image_0168.png",1,3400,4944,"c00383_x2375_y3630.tif",2375,3630,42,47,4.468085e-01,5.090000e+02,2.216622e-01,8.288060e-03,3.235559e-01,9.944643e-03,-4.910644e-03,-1.216318e-01,6.609990e-03,5.452181e-01,1.065708e-02,1.409606e-01,1.247692e-02,1.138039e-03,-1.277022e-03,5.877283e-06,8.402266e-05
