src_image,page,page_width,page_height,cc_image,x,y,w,h,aspect,m00,n20,n11,n02,n30,n21,n12,n03,i1,i2,i3,i4,i5,i6,i7,i8,z00,z01,z02,z10,z11,z12,z20,z21,z22
"image_0181.png",1,3400,4944,"c01010_x1213_y4109.tif",1213,4109,14,46,1.521739e-01,3.970000e+02,2.007730e-02,7.415443e-04,4.261158e-01,-4.141742e-06,-6.005752e-03,-1.719577e-03,9.958169e-02,4.461931e-01,1.648695e-01,1.385608e-02,8.759428e-03,9.651700e-05,3.553774e-03,-1.105058e-06,-7.198455e-05,8.333333e-01,1.000000e+00,7.444444e-01,3.166667e-01,1.000000e+00,4.222222e-01,1.718750e-01,9.843750e-01,3.020833e-01
"image_0181.png",1,3400,4944,"c01011_x1044_y4110.tif",1044,4110,30,29,5.166667e-01,5.140000e+02,1.330942e-01,7.190938e-03,1.250698e-01,-2.425768e-03,1.102340e-02,-1.313782e-03,-3.665037e-06,2.581640e-01,2.712304e-04,1.096178e-03,1.354189e-04,-2.901818e-08,-2.047554e-06,4.465549e-08,-4.419903e-07,6.444444e-01,7.333333e-01,5.333333e-01,7.000000e-01,2.222222e-01,6.333333e-01,7.363636e-01,3.000000e-01,8.000000e-01
"image_0181.png",1,3400,4944,"c01012_x1238_y4110.tif",1238,4110,21,72,1.458333e-01,6.060000e+02,3.624114e-02,2.071331e-02,6.665115e-01,-2.861494e-03,-5.554243e-03,-9.745933e-02,-1.245423e-03,7.027527e-01,3.989569e-01,8.405750e-02,1.011050e-02,5.597588e-04,-6.257551e-03,7.469865e-05,6.374444e-04,3.333333e-01,6.250000e-01,2.023810e-01,0.000000e+00,3.333333e-01,9.523810e-01,2.142857e-01,6.309524e-01,3.154762e-01
"image_0181.png",1,3400,4944,"c01013_x0959_y4114.tif",959,4114,37,58,3.189655e-01,9.850000e+02,1.053508e-01,3.613502e-03,3.671671e-01,-6.201034e-03,2.532963e-03,-9.619017e-03,8.644229e-03,4.725179e-01,6.860001e-02,5.143878e-04,3.752036e-04,-9.599422e-08,-3.537301e-05,-1.605543e-07,-4.584241e-05,5.833333e-01,3.771930e-01,6.315789e-01,1.798246e-01,2.412281e-01,4.493927e-01,5.166667e-01,5.458333e-01,5.692308e-01
"image_0181.png",1,3400,4944,"c01014_x1129_y4134.tif",1129,4134,37,38,4.868421e-01,7.550000e+02,1.341125e-01,3.670507e-03,1.556469e-01,-4.388509e-03,1.091672e-02,1.403669e-03,1.469388e-03,2.897595e-01,5.176215e-04,1.052439e-03,1.623250e-04,-4.949185e-08,2.569060e-06,2.864648e-08,-1.326552e-06,5.625000e-01,6.666667e-01,5.897436e-01,6.666667e-01,2.013889e-01,5.384615e-01,5.952381e-01,3.571429e-01,6.428571e-01
"image_0181.png",1,3400,4944,"c01015_x1214_y4158.tif",1214,4158,12,13,4.615385e-01,1.140000e+02,7.477942e-02,-6.027496e-04,8.528468e-02,8.255702e-04,-1.160240e-04,-7.663571e-04,-1.786221e-04,1.600641e-01,1.118136e-04,9.792098e-06,9.032251e-08,-4.988208e-13,9.172587e-10,-6.766645e-14,-1.330692e-10,4.375000e-01,8.750000e-01,3.125000e-01,1.000000e+00,1.000000e+00,8.750000e-01,6.500000e-01,1.000000e+00,4.500000e-01
"image_0181.png",1,3400,4944,"c01016_x1290_y4355.tif",1290,4355,12,26,2.307692e-01,2.030000e+02,3.037741e-02,8.550908e-03,2.845519e-01,-1.969704e-04,2.810662e-03,-4.351571e-03,-9.609292e-03,3.149293e-01,6.489713e-02,4.908092e-04,6.691060e-05,3.104295e-08,7.547325e-06,1.106640e-08,7.641731e-06,5.312500e-01,9.062500e-01,3.750000e-01,2.500000e-01,1.000000e+00,5.312500e-01,5.250000e-01,1.000000e+00,6.750000e-01
"image_0181.png",1,3400,4944,"c01017_x1290_y4358.tif",1290,4358,35,49,3.571429e-01,5.960000e+02,1.272960e-01,-5.901982e-02,2.911181e-01,-3.044146e-02,2.685323e-02,3.757501e-02,-7.968220e-02,4.184141e-01,4.077102e-02,4.617411e-02,2.841788e-03,2.771407e-05,5.378428e-04,1.044128e-05,9.997744e-05,0.000000e+00,5.113636e-02,5.096154e-01,3.409091e-02,6.306818e-01,4.086538e-01,5.133690e-01,1.925134e-01,6.651584e-01
"image_0181.png",1,3400,4944,"c01018_x1190_y4377.tif",1190,4377,39,57,3.421053e-01,9.860000e+02,1.133384e-01,6.389227e-03,3.562286e-01,-7.354274e-03,2.715794e-03,-1.197357e-02,2.855472e-03,4.695671e-01,5.915892e-02,8.440456e-04,4.046046e-04,-3.641869e-08,-8.594831e-05,-2.021050e-07,-2.396607e-05,5.587045e-01,3.684211e-01,6.032389e-01,1.417004e-01,2.793522e-01,4.008097e-01,5.020243e-01,5.506073e-01,5.870445e-01
"image_0181.png",1,3400,4944,"c01019_x3356_y4383.tif",3356,4383,5,6,4.166667e-01,2.000000e+01,7.137500e-02,4.837500e-02,1.223750e-01,2.188552e-03,-6.959762e-04,-3.055028e-03,-2.741978e-03,1.937500e-01,1.196156e-02,1.293328e-04,1.257031e-05,1.005918e-09,1.140925e-06,-3.537692e-10,-3.835266e-07,1.000000e+00,1.000000e+00,3.333333e-01,5.000000e-01,1.000000e+00,8.333333e-01,0.000000e+00,5.000000e-01,8.333333e-01
