src_image,page,page_width,page_height,cc_image,x,y,w,h,aspect,m00,n20,n11,n02,n30,n21,n12,n03,i1,i2,i3,i4,i5,i6,i7,i8
"image_0167.png",1,3400,4944,"c00118_x1188_y1184.tif",1188,1184,20,30,3.333333e-01,1.440000e+02,1.993309e-01,-2.886285e-01,4.567901e-01,3.902740e-03,-1.067738e-02,2.035956e-02,-3.260031e-02,6.561211e-01,3.995108e-01,3.269412e-03,2.461618e-03,-1.904039e-07,1.542913e-03,1.953769e-07,1.003489e-04
"image_0167.png",1,3400,4944,"c00119_x1031_y1187.tif",1031,1187,20,28,3.571429e-01,1.350000e+02,2.112174e-01,-3.002368e-01,4.611208e-01,7.066739e-03,-1.336565e-02,2.229841e-02,-3.388693e-02,6.723382e-01,4.230201e-01,3.618012e-03,3.095119e-03,-7.032449e-07,2.008900e-03,6.312308e-08,6.471222e-05
"image_0167.png",1,3400,4944,"c00120_x3305_y1244.tif",3305,1244,2,17,5.882353e-02,2.400000e+01,8.608218e-03,-1.475694e-02,9.131944e-01,7.321438e-04,-1.255104e-03,-1.405716e-02,1.020621e-01,9.218027e-01,8.191473e-01,1.304016e-02,1.033960e-02,1.159090e-04,9.111120e-03,-1.092788e-06,-1.067749e-03
"image_0167.png",1,3400,4944,"c00121_x3302_y1312.tif",3302,1312,4,206,9.708738e-03,3.970000e+02,1.212419e-03,-1.295541e-02,7.279954e+00,-2.975819e-06,9.200287e-04,3.588575e-04,-6.830031e+00,7.281166e+00,5.298074e+01,4.668703e+01,4.663675e+01,2.176159e+03,3.394570e+02,3.607805e-03,5.865083e-01
"image_0167.png",1,3400,4944,"c00122_x0308_y1351.tif",308,1351,22,74,1.486486e-01,6.610000e+02,3.471977e-02,-3.036536e-03,6.244844e-01,1.964323e-03,-1.109502e-03,8.793150e-02,5.174567e-03,6.592042e-01,3.478592e-01,6.862735e-02,8.097784e-03,4.210703e-04,-4.760734e-03,1.964709e-05,1.910302e-04
"image_0167.png",1,3400,4944,"c00123_x0413_y1351.tif",413,1351,22,74,1.486486e-01,6.450000e+02,3.693217e-02,2.550795e-02,6.389877e-01,-3.123750e-03,-8.637827e-03,-9.395424e-02,1.447484e-03,6.759198e-01,3.650734e-01,7.844404e-02,9.475838e-03,4.452233e-04,-5.571506e-03,8.118068e-05,6.593208e-04
"image_0167.png",1,3400,4944,"c00124_x0379_y1360.tif",379,1360,34,59,2.881356e-01,1.002000e+03,8.885253e-02,1.488591e-02,3.184069e-01,-8.296484e-03,4.352879e-03,-1.581661e-02,1.694535e-03,4.072594e-01,5.358156e-02,1.662126e-03,6.180123e-04,1.332779e-07,-1.337600e-04,-5.336199e-07,-2.536316e-05
"image_0167.png",1,3400,4944,"c00125_x0335_y1361.tif",335,1361,39,59,3.305085e-01,9.910000e+02,7.169086e-02,9.775474e-03,2.460025e-01,-9.189211e-03,9.845001e-03,1.467162e-02,-2.802568e-02,3.176934e-01,3.076680e-02,6.143905e-03,3.605937e-04,3.988245e-07,4.847976e-05,-7.093549e-08,-2.031166e-05
"image_0167.png",1,3400,4944,"c00126_x2182_y1511.tif",2182,1511,18,35,2.571429e-01,3.590000e+02,3.216722e-02,2.330979e-02,3.203355e-01,-2.638915e-04,2.372258e-03,-1.876861e-03,-3.820347e-03,3.525028e-01,8.521436e-02,1.484220e-04,6.679782e-06,8.815257e-10,-4.273046e-07,1.305410e-10,9.512665e-07
"image_0167.png",1,3400,4944,"c00127_x2183_y1513.tif",2183,1513,47,67,3.507463e-01,3.680000e+02,4.770797e-01,-7.020400e-01,1.050564e+00,-4.328895e-02,6.254188e-02,-8.901034e-02,1.246965e-01,1.527644e+00,2.300325e+00,5.402059e-02,5.256133e-02,-1.993955e-04,7.962995e-02,-1.172568e-06,-1.881670e-03
